month,mkt_excess,Rfree
1995-04,0.024995,0.0044
1995-05,0.034408999999999995,0.0054
1995-06,0.019455,0.004699999999999999
1995-07,0.028904999999999997,0.0045000000000000005
1995-08,-0.0011979999999999994,0.004699999999999999
1995-09,0.037802,0.0043
1995-10,-0.008142,0.004699999999999999
1995-11,0.039979,0.0042
1995-12,0.012742999999999999,0.0049
1996-01,0.030561000000000005,0.0043
1996-02,0.006187999999999999,0.0039000000000000003
1996-03,0.005684999999999999,0.0039000000000000003
1996-04,0.010533,0.0046
1996-05,0.021057000000000003,0.0042
1996-06,0.00012799999999999964,0.004
1996-07,-0.048943,0.0045000000000000005
1996-08,0.017828,0.0040999999999999995
1996-09,0.051635,0.0044
1996-10,0.022598,0.0042
1996-11,0.07234099999999999,0.0040999999999999995
1996-12,-0.024398,0.0046
1997-01,0.05832699999999999,0.0045000000000000005
1997-02,0.003852,0.0039000000000000003
1997-03,-0.045988,0.0043
1997-04,0.055974,0.0043
1997-05,0.056500999999999996,0.0049
1997-06,0.040403,0.0037
1997-07,0.076088,0.0043
1997-08,-0.059075,0.0040999999999999995
1997-09,0.049486,0.0044
1997-10,-0.036805000000000004,0.0042
1997-11,0.042421,0.0039000000000000003
1997-12,0.012347,0.0048
1998-01,0.0076939999999999995,0.0043
1998-02,0.068056,0.0039000000000000003
1998-03,0.047436,0.0039000000000000003
1998-04,0.006975,0.0043
1998-05,-0.021674,0.004
1998-06,0.03687,0.0040999999999999995
1998-07,-0.014109,0.004
1998-08,-0.147424,0.0043
1998-09,0.058575999999999996,0.0046
1998-10,0.07691100000000001,0.0032
1998-11,0.059064,0.0031
1998-12,0.055873,0.0038
1999-01,0.0393,0.0034999999999999996
1999-02,-0.035434999999999994,0.0034999999999999996
1999-03,0.034679,0.0043
1999-04,0.033859,0.0037
1999-05,-0.026559,0.0034000000000000002
1999-06,0.050431000000000004,0.004
1999-07,-0.03402,0.0038
1999-08,-0.008904,0.0039000000000000003
1999-09,-0.031979,0.0039000000000000003
1999-10,0.060338,0.0039000000000000003
