month,mkt_excess,Rfree,lty,ltr,tms,tbl,d/p,e/p,d/e,b/m,dfy,dfr,infl,ntis,svar,lzrt,wtexas,ndrbl,skvw,tail,dtoy,dtoat,ygap,rdsp,avgcor
1986-11,0.020975999999999998,0.0039000000000000003,0.0803,0.0289,0.028499999999999998,0.0518,0.033800598409705715,0.06036027543241249,0.5599808511071727,0.5032458022909666,0.013800000000000007,-0.009999999999999998,0.0009074410163338875,-0.00802546100396773,0.0009905938294619613,-1.6268013076700316,0.018543046357615944,-0.009549010867610258,0.06903329491615295,0.45494192838668823,0.9781737866656942,0.9781737866656942,-2.8790933686220193,0.027938771793210592,0.32791465520858765
1986-12,-0.032413,0.0049,0.0779,0.0267,0.024399999999999998,0.0535,0.03315676911965332,0.05859601958109301,0.565853608430971,0.4936710844569357,0.013899999999999996,-0.0034000000000000002,0.0009066183136900996,-0.002125378849964108,0.001730856541817946,-1.6927636323452484,-0.016254876462938883,0.007564767098391406,0.007151284255087376,0.46420416235923767,0.9971454021701195,0.9971454021701195,-2.9070808817635494,0.019120472976377964,0.35639432072639465
1987-01,0.130983,0.0042,0.0789,-0.0018,0.023599999999999996,0.0553,0.034190857661972995,0.059792707602097706,0.5718232044198894,0.49843086579287427,0.014800000000000008,0.0135,0.0009057971014492239,-0.011376972740397232,0.0012623422855547576,-1.6570892884448292,0.1665565102445472,0.011091938790637279,0.0711710974574089,0.473618745803833,0.9695127251900981,0.9695127251900981,-2.8855577297032866,0.018056311152201052,0.26987236738204956
1987-02,0.037478000000000004,0.0043,0.0778,0.0161,0.0235,0.054299999999999994,0.03028312901342674,0.05358544950379451,0.565137164917919,0.4378973513002539,0.013600000000000015,0.005500000000000001,0.0063348416289592535,-0.005841522225828752,0.002478227434524122,-1.8643603585088084,0.056657223796034106,-0.01445409048542217,0.012527547776699066,0.4181712865829468,0.9975270293382146,0.9975270293382146,-2.994883744904038,0.029205810099326133,0.3230735957622528
1987-03,0.021636,0.004699999999999999,0.0763,0.0202,0.02040000000000001,0.0559,0.02927515833919775,0.05240429275158339,0.5586404624898444,0.42491198251790707,0.012699999999999989,-0.0144,0.003597122302158251,-0.00450676746230271,0.001412246607780315,-1.7987545228454767,-0.09919571045576392,-0.008583985804819004,0.06568869948387146,0.43072018027305603,0.9910431399810167,0.9910431399810167,-3.0187591400905185,0.03318715362422484,0.28792110085487366
1987-04,-0.013444999999999999,0.0044,0.0795,-0.0223,0.023600000000000003,0.0559,0.028591018169352073,0.051765512512855674,0.552317880794702,0.42804021365129363,0.012499999999999997,0.013600000000000001,0.0044802867383513245,-0.0022182415117624277,0.0019710952636649215,-1.7967293675482374,0.12202380952380953,0.013528975806221913,-0.001799769583158195,0.4370681047439575,0.9713814860553235,0.9713814860553235,-3.031023504872832,0.022695925243926496,0.2826692759990692
1987-05,0.005328000000000001,0.0038,0.0859,-0.0473,0.029500000000000005,0.0564,0.029130253849354974,0.0515789291163823,0.5647704275446606,0.43147185919977604,0.011899999999999994,-0.0029,0.00535236396074934,0.0044921799445633275,0.004193906257554634,-1.8948735368745373,-0.006896551724138056,0.036189804597867865,0.054744359105825424,0.4276219606399536,0.950456030662554,0.950456030662554,-3.0417882495267334,0.02187651095130117,0.33573484420776367
1987-06,0.04534,0.0048,0.088,-0.0105,0.03139999999999999,0.056600000000000004,0.029162357807652535,0.05048845225784212,0.577604511596469,0.4304908861610162,0.011800000000000005,0.005300000000000001,0.003549245785270605,0.006940138315193771,0.0024892339107077223,-1.7680128751006223,0.03525641025641035,0.049349668406388186,0.05315015837550163,0.42340895533561707,0.9526218645293781,0.9526218645293781,-3.0686039353147687,0.019327273133900705,0.36130595207214355
1987-07,0.045243,0.0046,0.0877,0.0098,0.031,0.0567,0.028026315789473684,0.04743421052631579,0.5908460471567267,0.40789239744803657,0.011999999999999997,0.0057,0.0035366931918656697,0.005201679585221878,0.0010704212049148251,-1.6832152876091506,0.04695562435500511,0.04781478245733674,0.028656359761953354,0.4387156367301941,0.9867322168050427,0.9867322168050427,-3.1290694725668735,0.02334593638366,0.34701573848724365
1987-08,0.034407999999999994,0.004699999999999999,0.0907,-0.0178,0.0338,0.056900000000000006,0.026883418063139396,0.046758300382853196,0.5749442953020134,0.3835432161644123,0.011899999999999994,0.005899999999999999,0.002643171806167466,0.0018814480365607292,0.0008181599831349634,-1.6729089631996017,0.05224248398225728,0.05095754427801054,0.07490932196378708,0.4310530424118042,1.0,1.0,-3.1438825419957417,0.026016257699083088,0.2515685558319092
